id,name,address,lat,lng,category,subCategory,district,popular,iconName,somaliCategory
wda_core_station_waheen_1,Core Station Waheen 1,"Central business transit avenue near Hargeisa Main Bridge, Downtown Waheen, Hargeisa",9.562,44.06964,Transport & Terminals,transit_station,Downtown Waheen,True,Navigation,Istaannada & Gaadiidka
wda_taaj_commercial_branch,TAAJ Commercial Branch,"Opposite Oriental Hotel in downtown trading core, Downtown Waheen, Hargeisa",9.56066,44.06652,Banks & Financial,bank,Downtown Waheen,True,Landmark,Bangiyada & Xawaaladaha
wda_zaad_financial_branch,ZAAD Financial Branch,"Opposite City Center Hotel in central banking lane, Downtown Waheen, Hargeisa",9.56433,44.06821,Banks & Financial,bank,Downtown Waheen,True,Landmark,Bangiyada & Xawaaladaha
wda_khayriya_square_core_station,Khayriya Square Core Station,"Near historic Khayriya Square public assembly grounds, Downtown Waheen, Hargeisa",9.55986,44.06967,Transport & Terminals,transit_station,Downtown Waheen,True,Navigation,Istaannada & Gaadiidka
wda_cadaani_marketplace_node,Cadaani Marketplace Node,"Center of Waheen traditional retail market area, Downtown Waheen, Hargeisa",9.56253,44.06494,Markets & Malls,mall,Downtown Waheen,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_somtel_commercial_center,Somtel Commercial Center,"Waheen Commercial Center primary service hub, Downtown Waheen, Hargeisa",9.56384,44.07093,Corporate & Utilities,corporate,Downtown Waheen,True,Building2,Shirkadaha & Isgaadhsiinta
wda_sompower_central_administration,Sompower Central Administration,"Ali Gobannimo Building electricity customer center, Downtown Waheen, Hargeisa",9.55835,44.067,Corporate & Utilities,utility,Downtown Waheen,True,Zap,Korontada & Biyaha
wda_ali_matan_mosque,Ali Matan Mosque,"Famous four-story congregational historical mosque downtown, Downtown Waheen, Hargeisa",9.56568,44.06606,Mosques (Masaajidda),place_of_worship,Downtown Waheen,True,Moon,Masaajidda
wda_jama_mosque_central,Jama Mosque Central,"Main central mosque near central marketplace avenues, Downtown Waheen, Hargeisa",9.56045,44.07229,Mosques (Masaajidda),place_of_worship,Downtown Waheen,True,Moon,Masaajidda
wda_dahabshiil_bank_hq_branch_1,Dahabshiil Bank HQ - Branch 1,"Dahabshiil International Bank Main Corporate Tower, Downtown Waheen, Hargeisa",9.56014,44.06344,Banks & Financial,bank,Downtown Waheen,True,Landmark,Bangiyada & Xawaaladaha
wda_premier_bank_hq_branch_1,Premier Bank HQ - Branch 1,"Premier Bank Corporate Headquarters, opposite Dahabshiil, Downtown Waheen, Hargeisa",9.56673,44.07025,Banks & Financial,bank,Downtown Waheen,True,Landmark,Bangiyada & Xawaaladaha
wda_salaam_somaliland_bank_hq_branch_1,Salaam Somaliland Bank HQ - Branch 1,"Salaam Bank Corporate Headquarters, Main Marketplace corridor, Downtown Waheen, Hargeisa",9.55667,44.0697,Banks & Financial,bank,Downtown Waheen,True,Landmark,Bangiyada & Xawaaladaha
wda_central_bank_of_somaliland,Central Bank of Somaliland,"National Central Bank Complex adjacent to Hargeisa Municipality, Downtown Waheen, Hargeisa",9.56498,44.06278,Banks & Financial,bank,Downtown Waheen,True,Landmark,Bangiyada & Xawaaladaha
wda_waheen_supermarket_branch_1,Waheen Supermarket - Branch 1,"Waheen Central Grocery Supermarket, Market Hub, Downtown Waheen, Hargeisa",9.56335,44.07425,Markets & Malls,mall,Downtown Waheen,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_city_center_mall,City Center Mall,"Multi-Story Commercial Shopping Center downtown, Downtown Waheen, Hargeisa",9.55655,44.06411,Markets & Malls,mall,Downtown Waheen,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_al_nuor_shopping_center,Al-Nuor Shopping Center,"Al-Nuor Retail Plaza building, opposite Khayriya Square, Downtown Waheen, Hargeisa",9.56897,44.06708,Markets & Malls,mall,Downtown Waheen,True,ShoppingBag,Suuqyada & Xarumaha Ganacsiga
wda_manhal_hospital_branch_2,Manhal Hospital - Branch 2,"Manhal Medical Plaza, Market Street near Ali Matan, Downtown Waheen, Hargeisa",9.55724,44.07373,Hospitals & Healthcare,hospital,Downtown Waheen,True,HeartPulse,Cusbitaallada & Rugaha Caafimaadka
